sido,sigungu,road_type,road_direction,address,road_shape,main_road,signal_id,signal_type,button,remain_time,sound_signal,org_code
경기도,의정부시,시도,3,경기도 의정부시 의정부동 366,1,0,2037-TR-01,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 395,2,0,2039-TR-03,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 365-59,2,0,2040-TR-01,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 365-58,2,0,2041-TR-03,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 395,2,0,2042-TR-01,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 가능동 816,2,0,2043-TR-03,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 616,2,1,2020-TR-05,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 333-7,2,1,2021-TR-01,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 669,2,0,2024-TR-03,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 582,2,1,2025-TR-01,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 99-6,2,1,2026-TR-03,2,0,1,0,3820000
경기도,의정부시,일반국도,3,경기도 의정부시 의정부동 224-1,2,1,2027-TR-03,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 175-10,2,1,2029-TR-01,2,0,1,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 의정부동 462,1,1,2006-TR-03,2,0,1,1,3820000
경기도,의정부시,일반국도,3,경기도 의정부시 가능동 205-23,1,1,2012-TR-01,2,0,0,0,3820000
경기도,의정부시,일반국도,3,경기도 의정부시 가능동 205-23,1,1,2013-TR-03,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 가능동 803,2,0,2015-TR-01,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 가능동 803,2,1,2016-TR-03,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 가능동 803,2,0,2018-TR-01,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 가능동 803,2,1,2019-TR-03,2,0,1,1,3820000
경기도,의정부시,시도,3,경기도 의정부시 녹양동 411-4,2,1,1991-TR-03,2,0,0,0,3820000
경기도,의정부시,시도,3,경기도 의정부시 녹양동 411-4,2,1,1993-TR-01,2,0,0,0,3820000
